transaction_id,product_id,quantity,transaction_date,customer_id,total_amount
1,151,6,2023-01-01 00:00:00,1067,426
2,192,6,2023-01-01 00:01:00,1020,150
3,114,9,2023-01-01 00:02:00,1042,783
4,171,4,2023-01-01 00:03:00,1072,244
5,160,12,2023-01-01 00:04:00,1006,132
6,120,12,2023-01-01 00:05:00,1015,840
7,182,17,2023-01-01 00:06:00,1022,221
8,186,15,2023-01-01 00:07:00,1057,915
9,174,9,2023-01-01 00:08:00,1086,450
10,174,7,2023-01-01 00:09:00,1030,427
11,187,10,2023-01-01 00:10:00,1068,400
12,199,16,2023-01-01 00:11:00,1005,560
13,123,12,2023-01-01 00:12:00,1064,432
14,102,7,2023-01-01 00:13:00,1058,420
15,121,18,2023-01-01 00:14:00,1027,1026
16,152,15,2023-01-01 00:15:00,1017,300
17,101,6,2023-01-01 00:16:00,1087,102
18,187,12,2023-01-01 00:17:00,1076,252
19,129,11,2023-01-01 00:18:00,1096,594
20,137,3,2023-01-01 00:19:00,1009,129
21,101,2,2023-01-01 00:20:00,1006,172
22,163,6,2023-01-01 00:21:00,1036,486
23,159,5,2023-01-01 00:22:00,1095,280
24,120,18,2023-01-01 00:23:00,1044,540
25,132,16,2023-01-01 00:24:00,1085,800
26,175,8,2023-01-01 00:25:00,1015,672
27,157,11,2023-01-01 00:26:00,1087,341
28,121,10,2023-01-01 00:27:00,1013,300
29,188,12,2023-01-01 00:28:00,1010,444
30,148,6,2023-01-01 00:29:00,1082,456
31,190,5,2023-01-01 00:30:00,1086,400
32,158,9,2023-01-01 00:31:00,1033,207
33,141,16,2023-01-01 00:32:00,1059,1408
34,191,14,2023-01-01 00:33:00,1012,1148
35,159,8,2023-01-01 00:34:00,1038,488
36,179,19,2023-01-01 00:35:00,1043,988
37,114,14,2023-01-01 00:36:00,1027,1120
38,161,7,2023-01-01 00:37:00,1039,595
39,161,5,2023-01-01 00:38:00,1015,140
40,146,18,2023-01-01 00:39:00,1049,648
41,161,2,2023-01-01 00:40:00,1027,54
42,150,11,2023-01-01 00:41:00,1067,242
43,154,8,2023-01-01 00:42:00,1091,80
44,163,1,2023-01-01 00:43:00,1059,94
45,102,12,2023-01-01 00:44:00,1011,516
46,150,2,2023-01-01 00:45:00,1015,44
47,106,18,2023-01-01 00:46:00,1052,1080
48,120,7,2023-01-01 00:47:00,1053,672
49,172,17,2023-01-01 00:48:00,1048,170
50,138,14,2023-01-01 00:49:00,1035,1344
51,117,7,2023-01-01 00:50:00,1061,259
52,103,3,2023-01-01 00:51:00,1083,123
53,188,6,2023-01-01 00:52:00,1025,486
54,159,2,2023-01-01 00:53:00,1055,128
55,113,17,2023-01-01 00:54:00,1089,595
56,108,12,2023-01-01 00:55:00,1021,276
57,189,12,2023-01-01 00:56:00,1072,1164
58,152,17,2023-01-01 00:57:00,1068,1309
59,101,10,2023-01-01 00:58:00,1080,720
60,183,3,2023-01-01 00:59:00,1048,273
61,191,18,2023-01-01 01:00:00,1097,414
62,159,13,2023-01-01 01:01:00,1001,468
63,170,12,2023-01-01 01:02:00,1052,600
64,143,17,2023-01-01 01:03:00,1006,204
65,107,4,2023-01-01 01:04:00,1099,272
66,146,10,2023-01-01 01:05:00,1076,320
67,134,11,2023-01-01 01:06:00,1019,297
68,177,6,2023-01-01 01:07:00,1093,498
69,180,6,2023-01-01 01:08:00,1029,510
70,135,9,2023-01-01 01:09:00,1074,450
71,149,15,2023-01-01 01:10:00,1094,255
