customer_id,age,gender,purchase_date,amount
1051,55,M,2023-01-01 00:00:00,203
1092,55,M,2023-01-01 01:00:00,689
1014,46,M,2023-01-01 02:00:00,833
1071,58,M,2023-01-01 03:00:00,895
1060,53,F,2023-01-01 04:00:00,188
1020,43,M,2023-01-01 05:00:00,157
1082,48,F,2023-01-01 06:00:00,474
1086,61,F,2023-01-01 07:00:00,985
1074,29,M,2023-01-01 08:00:00,578
1074,34,M,2023-01-01 09:00:00,14
1087,32,M,2023-01-01 10:00:00,535
1099,26,M,2023-01-01 11:00:00,289
1023,56,M,2023-01-01 12:00:00,508
1002,59,M,2023-01-01 13:00:00,845
1021,65,F,2023-01-01 14:00:00,445
1052,29,F,2023-01-01 15:00:00,825
1001,49,F,2023-01-01 16:00:00,225
1087,42,F,2023-01-01 17:00:00,696
1029,56,F,2023-01-01 18:00:00,837
1037,35,F,2023-01-01 19:00:00,978
1001,32,M,2023-01-01 20:00:00,524
1063,49,M,2023-01-01 21:00:00,896
1059,23,M,2023-01-01 22:00:00,146
1020,61,F,2023-01-01 23:00:00,987
1032,60,F,2023-01-02 00:00:00,621
1075,69,F,2023-01-02 01:00:00,604
1057,52,M,2023-01-02 02:00:00,289
1021,51,M,2023-01-02 03:00:00,141
1088,55,M,2023-01-02 04:00:00,402
1048,22,F,2023-01-02 05:00:00,490
1090,35,F,2023-01-02 06:00:00,522
1058,33,F,2023-01-02 07:00:00,637
1041,25,M,2023-01-02 08:00:00,428
1091,42,F,2023-01-02 09:00:00,211
1059,49,M,2023-01-02 10:00:00,661
1079,43,M,2023-01-02 11:00:00,667
1014,69,M,2023-01-02 12:00:00,471
1061,39,M,2023-01-02 13:00:00,787
1061,48,M,2023-01-02 14:00:00,211
1046,60,M,2023-01-02 15:00:00,923
1061,27,M,2023-01-02 16:00:00,161
1050,29,F,2023-01-02 17:00:00,906
1054,45,M,2023-01-02 18:00:00,231
1063,23,F,2023-01-02 19:00:00,88
1002,37,M,2023-01-02 20:00:00,209
1050,22,M,2023-01-02 21:00:00,771
1006,40,M,2023-01-02 22:00:00,108
1020,26,F,2023-01-02 23:00:00,987
1072,46,M,2023-01-03 00:00:00,921
1038,33,M,2023-01-03 01:00:00,222
1017,63,F,2023-01-03 02:00:00,152
1003,39,F,2023-01-03 03:00:00,711
1088,25,F,2023-01-03 04:00:00,398
1059,37,F,2023-01-03 05:00:00,822
1013,68,M,2023-01-03 06:00:00,383
1008,31,M,2023-01-03 07:00:00,61
1089,56,F,2023-01-03 08:00:00,976
1052,54,M,2023-01-03 09:00:00,633
1001,67,F,2023-01-03 10:00:00,144
1083,51,F,2023-01-03 11:00:00,420
1091,28,F,2023-01-03 12:00:00,994
1059,57,M,2023-01-03 13:00:00,479
1070,50,F,2023-01-03 14:00:00,121
1043,48,M,2023-01-03 15:00:00,534
1007,61,M,2023-01-03 16:00:00,794
1046,51,M,2023-01-03 17:00:00,754
1034,67,F,2023-01-03 18:00:00,53
1077,24,M,2023-01-03 19:00:00,406
1080,66,F,2023-01-03 20:00:00,995
1035,40,M,2023-01-03 21:00:00,594
1049,63,M,2023-01-03 22:00:00,270
1003,24,M,2023-01-03 23:00:00,752
1001,42,F,2023-01-04 00:00:00,554
1005,20,F,2023-01-04 01:00:00,397
1053,55,F,2023-01-04 02:00:00,485
1003,37,F,2023-01-04 03:00:00,419
1053,51,M,2023-01-04 04:00:00,589
1092,66,M,2023-01-04 05:00:00,25
1062,61,F,2023-01-04 06:00:00,671
1017,61,F,2023-01-04 07:00:00,813
1089,47,F,2023-01-04 08:00:00,111
1043,34,F,2023-01-04 09:00:00,195
1033,27,M,2023-01-04 10:00:00,960
1073,52,F,2023-01-04 11:00:00,940
1061,37,F,2023-01-04 12:00:00,34
1099,35,M,2023-01-04 13:00:00,81
1013,62,F,2023-01-04 14:00:00,602
1094,61,M,2023-01-04 15:00:00,582
1047,44,F,2023-01-04 16:00:00,27
1014,66,M,2023-01-04 17:00:00,763
1071,53,F,2023-01-04 18:00:00,579
1077,40,F,2023-01-04 19:00:00,341
1086,49,F,2023-01-04 20:00:00,898
1061,27,F,2023-01-04 21:00:00,578
1039,28,F,2023-01-04 22:00:00,106
1084,55,M,2023-01-04 23:00:00,736
1079,23,F,2023-01-05 00:00:00,840
1081,58,M,2023-01-05 01:00:00,21
1052,64,M,2023-01-05 02:00:00,20
1023,51,M,2023-01-05 03:00:00,918
1025,53,M,2023-01-05 04:00:00,172
1088,54,F,2023-01-05 05:00:00,292
1059,34,F,2023-01-05 06:00:00,738
1040,57,F,2023-01-05 07:00:00,881
1028,57,F,2023-01-05 08:00:00,844
1014,29,M,2023-01-05 09:00:00,250
1044,38,M,2023-01-05 10:00:00,866
1064,57,M,2023-01-05 11:00:00,54
1088,36,F,2023-01-05 12:00:00,979
1070,20,F,2023-01-05 13:00:00,602
1008,35,F,2023-01-05 14:00:00,264
1087,68,F,2023-01-05 15:00:00,76
1000,36,M,2023-01-05 16:00:00,927
1007,64,F,2023-01-05 17:00:00,623
1087,23,F,2023-01-05 18:00:00,983
1062,33,M,2023-01-05 19:00:00,612
1010,25,M,2023-01-05 20:00:00,51
1080,65,F,2023-01-05 21:00:00,797
1007,35,F,2023-01-05 22:00:00,825
1034,69,M,2023-01-05 23:00:00,795
1034,65,F,2023-01-06 00:00:00,393
1032,60,M,2023-01-06 01:00:00,598
1004,56,M,2023-01-06 02:00:00,243
1040,66,F,2023-01-06 03:00:00,975
1027,66,M,2023-01-06 04:00:00,723
1006,29,F,2023-01-06 05:00:00,494
1072,62,F,2023-01-06 06:00:00,742
1071,27,F,2023-01-06 07:00:00,783
1011,24,F,2023-01-06 08:00:00,48
1033,63,M,2023-01-06 09:00:00,20
1032,18,F,2023-01-06 10:00:00,633
1047,66,F,2023-01-06 11:00:00,418
1022,53,M,2023-01-06 12:00:00,117
1061,38,F,2023-01-06 13:00:00,103
1087,54,F,2023-01-06 14:00:00,832
1036,69,F,2023-01-06 15:00:00,93
1098,41,F,2023-01-06 16:00:00,67
1043,42,M,2023-01-06 17:00:00,302
1085,24,M,2023-01-06 18:00:00,25
1090,59,F,2023-01-06 19:00:00,486
1034,34,M,2023-01-06 20:00:00,847
1064,46,M,2023-01-06 21:00:00,614
1098,47,M,2023-01-06 22:00:00,978
1046,24,M,2023-01-06 23:00:00,174
1077,50,F,2023-01-07 00:00:00,446
1002,24,M,2023-01-07 01:00:00,736
1000,41,F,2023-01-07 02:00:00,665
1004,28,F,2023-01-07 03:00:00,795
1089,26,M,2023-01-07 04:00:00,412
1013,29,F,2023-01-07 05:00:00,949
1026,52,M,2023-01-07 06:00:00,395
1008,21,F,2023-01-07 07:00:00,963
1078,53,F,2023-01-07 08:00:00,147
1014,45,M,2023-01-07 09:00:00,725
1089,30,F,2023-01-07 10:00:00,823
1041,40,M,2023-01-07 11:00:00,731
1076,36,F,2023-01-07 12:00:00,540
1050,59,F,2023-01-07 13:00:00,815
1062,54,M,2023-01-07 14:00:00,302
1095,56,M,2023-01-07 15:00:00,484
1051,41,M,2023-01-07 16:00:00,889
1095,33,F,2023-01-07 17:00:00,471
1003,50,M,2023-01-07 18:00:00,822
1093,29,M,2023-01-07 19:00:00,382
1022,51,M,2023-01-07 20:00:00,171
1014,24,M,2023-01-07 21:00:00,651
1042,28,F,2023-01-07 22:00:00,53
1028,48,F,2023-01-07 23:00:00,874
1035,46,F,2023-01-08 00:00:00,92
1012,30,F,2023-01-08 01:00:00,901
1031,48,F,2023-01-08 02:00:00,645
1070,19,F,2023-01-08 03:00:00,548
1058,56,M,2023-01-08 04:00:00,825
1085,32,F,2023-01-08 05:00:00,871
1027,28,M,2023-01-08 06:00:00,528
1065,51,M,2023-01-08 07:00:00,420
1041,56,M,2023-01-08 08:00:00,350
1044,21,M,2023-01-08 09:00:00,720
1061,28,F,2023-01-08 10:00:00,633
1056,46,F,2023-01-08 11:00:00,98
1005,19,F,2023-01-08 12:00:00,649
1027,33,M,2023-01-08 13:00:00,239
1027,56,F,2023-01-08 14:00:00,27
1043,30,F,2023-01-08 15:00:00,810
1083,54,F,2023-01-08 16:00:00,682
1029,34,F,2023-01-08 17:00:00,873
1061,38,F,2023-01-08 18:00:00,899
1074,61,F,2023-01-08 19:00:00,290
1091,36,M,2023-01-08 20:00:00,919
1088,24,M,2023-01-08 21:00:00,431
1061,55,F,2023-01-08 22:00:00,687
1096,25,M,2023-01-08 23:00:00,781
1000,30,M,2023-01-09 00:00:00,885
1026,54,F,2023-01-09 01:00:00,711
1061,19,M,2023-01-09 02:00:00,347
1076,58,F,2023-01-09 03:00:00,275
1002,28,M,2023-01-09 04:00:00,812
1069,41,F,2023-01-09 05:00:00,364
1071,23,M,2023-01-09 06:00:00,369
1026,43,M,2023-01-09 07:00:00,800
1008,24,M,2023-01-09 08:00:00,226
1061,56,M,2023-01-09 09:00:00,330
1036,36,F,2023-01-09 10:00:00,859
1096,23,M,2023-01-09 11:00:00,728
1050,60,F,2023-01-09 12:00:00,674
1043,46,F,2023-01-09 13:00:00,702
1023,60,M,2023-01-09 14:00:00,221
1078,56,M,2023-01-09 15:00:00,794
1058,19,F,2023-01-09 16:00:00,962
1031,36,M,2023-01-09 17:00:00,212
1095,21,F,2023-01-09 18:00:00,726
1087,23,M,2023-01-09 19:00:00,994
1051,66,F,2023-01-09 20:00:00,925
1061,54,M,2023-01-09 21:00:00,905
1057,45,M,2023-01-09 22:00:00,162
1051,47,F,2023-01-09 23:00:00,691
1011,24,F,2023-01-10 00:00:00,438
1038,26,F,2023-01-10 01:00:00,762
1001,42,M,2023-01-10 02:00:00,296
1002,50,M,2023-01-10 03:00:00,766
1055,18,M,2023-01-10 04:00:00,330
1080,68,M,2023-01-10 05:00:00,445
1058,23,F,2023-01-10 06:00:00,601
1001,35,F,2023-01-10 07:00:00,505
1001,27,M,2023-01-10 08:00:00,613
1091,45,M,2023-01-10 09:00:00,158
1053,28,M,2023-01-10 10:00:00,551
1086,50,F,2023-01-10 11:00:00,644
1095,18,F,2023-01-10 12:00:00,908
1096,30,M,2023-01-10 13:00:00,491
1000,54,F,2023-01-10 14:00:00,335
1018,37,M,2023-01-10 15:00:00,948
1001,18,M,2023-01-10 16:00:00,38
1052,69,F,2023-01-10 17:00:00,268
1043,20,F,2023-01-10 18:00:00,707
1089,35,F,2023-01-10 19:00:00,938
1031,58,F,2023-01-10 20:00:00,84
1069,31,M,2023-01-10 21:00:00,566
1031,48,F,2023-01-10 22:00:00,590
1067,44,F,2023-01-10 23:00:00,507
1054,34,F,2023-01-11 00:00:00,425
1074,63,F,2023-01-11 01:00:00,888
1055,46,M,2023-01-11 02:00:00,731
1016,53,M,2023-01-11 03:00:00,760
1037,54,F,2023-01-11 04:00:00,349
1023,43,F,2023-01-11 05:00:00,317
1068,34,M,2023-01-11 06:00:00,713
1097,39,M,2023-01-11 07:00:00,893
1069,42,F,2023-01-11 08:00:00,624
