transaction_id,product_id,quantity,transaction_date,customer_id,total_amount
1,151,3,2023-01-01 00:00:00,1001,90
2,192,5,2023-01-01 00:01:00,1004,250
3,114,3,2023-01-01 00:02:00,1010,210
4,171,8,2023-01-01 00:03:00,1033,400
5,160,6,2023-01-01 00:04:00,1090,564
6,120,15,2023-01-01 00:05:00,1069,810
7,182,6,2023-01-01 00:06:00,1022,354
8,186,7,2023-01-01 00:07:00,1078,343
9,174,8,2023-01-01 00:08:00,1060,744
10,174,16,2023-01-01 00:09:00,1090,688
11,187,13,2023-01-01 00:10:00,1090,507
12,199,5,2023-01-01 00:11:00,1016,470
13,123,2,2023-01-01 00:12:00,1070,130
14,102,14,2023-01-01 00:13:00,1069,196
15,121,18,2023-01-01 00:14:00,1098,1188
16,152,18,2023-01-01 00:15:00,1035,522
17,101,18,2023-01-01 00:16:00,1037,468
18,187,15,2023-01-01 00:17:00,1080,465
19,129,5,2023-01-01 00:18:00,1091,190
20,137,2,2023-01-01 00:19:00,1059,30
21,101,11,2023-01-01 00:20:00,1064,1034
22,163,10,2023-01-01 00:21:00,1084,870
23,159,5,2023-01-01 00:22:00,1099,275
24,120,2,2023-01-01 00:23:00,1030,168
25,132,12,2023-01-01 00:24:00,1021,828
26,175,17,2023-01-01 00:25:00,1039,1122
27,157,5,2023-01-01 00:26:00,1040,85
28,121,18,2023-01-01 00:27:00,1073,1296
29,188,16,2023-01-01 00:28:00,1091,240
30,148,8,2023-01-01 00:29:00,1026,240
31,190,4,2023-01-01 00:30:00,1076,152
32,158,4,2023-01-01 00:31:00,1064,284
33,141,4,2023-01-01 00:32:00,1051,348
34,191,17,2023-01-01 00:33:00,1085,391
35,159,10,2023-01-01 00:34:00,1086,720
36,179,1,2023-01-01 00:35:00,1052,60
37,114,18,2023-01-01 00:36:00,1033,1584
38,161,15,2023-01-01 00:37:00,1074,1095
39,161,10,2023-01-01 00:38:00,1021,310
40,146,16,2023-01-01 00:39:00,1048,400
41,161,4,2023-01-01 00:40:00,1004,84
42,150,18,2023-01-01 00:41:00,1009,1152
43,154,11,2023-01-01 00:42:00,1072,407
44,163,8,2023-01-01 00:43:00,1056,752
45,102,1,2023-01-01 00:44:00,1080,60
46,150,2,2023-01-01 00:45:00,1079,136
47,106,17,2023-01-01 00:46:00,1073,1224
48,120,19,2023-01-01 00:47:00,1054,1577
49,172,10,2023-01-01 00:48:00,1020,750
50,138,8,2023-01-01 00:49:00,1065,616
51,117,9,2023-01-01 00:50:00,1046,522
52,103,10,2023-01-01 00:51:00,1035,430
53,188,5,2023-01-01 00:52:00,1032,220
54,159,9,2023-01-01 00:53:00,1072,225
55,113,11,2023-01-01 00:54:00,1016,957
56,108,18,2023-01-01 00:55:00,1096,1458
57,189,1,2023-01-01 00:56:00,1011,87
58,152,16,2023-01-01 00:57:00,1012,160
59,101,10,2023-01-01 00:58:00,1045,750
60,183,18,2023-01-01 00:59:00,1064,702
61,191,1,2023-01-01 01:00:00,1039,78
62,159,6,2023-01-01 01:01:00,1085,204
63,170,1,2023-01-01 01:02:00,1073,47
64,143,3,2023-01-01 01:03:00,1047,276
65,107,13,2023-01-01 01:04:00,1056,1209
66,146,12,2023-01-01 01:05:00,1037,600
67,134,14,2023-01-01 01:06:00,1048,322
68,177,17,2023-01-01 01:07:00,1039,799
69,180,16,2023-01-01 01:08:00,1051,1216
70,135,13,2023-01-01 01:09:00,1031,1274
71,149,4,2023-01-01 01:10:00,1012,184
72,103,15,2023-01-01 01:11:00,1064,255
73,101,9,2023-01-01 01:12:00,1087,387
74,105,17,2023-01-01 01:13:00,1035,816
75,153,11,2023-01-01 01:14:00,1085,242
76,103,7,2023-01-01 01:15:00,1041,511
77,153,7,2023-01-01 01:16:00,1011,70
78,192,4,2023-01-01 01:17:00,1081,392
79,162,8,2023-01-01 01:18:00,1084,336
80,117,19,2023-01-01 01:19:00,1093,1691
81,189,14,2023-01-01 01:20:00,1067,378
82,143,4,2023-01-01 01:21:00,1066,192
83,133,17,2023-01-01 01:22:00,1001,1428
84,173,18,2023-01-01 01:23:00,1067,1494
85,161,15,2023-01-01 01:24:00,1067,1455
86,199,5,2023-01-01 01:25:00,1007,170
87,113,15,2023-01-01 01:26:00,1073,480
88,194,4,2023-01-01 01:27:00,1054,304
89,147,4,2023-01-01 01:28:00,1092,288
90,114,12,2023-01-01 01:29:00,1032,1080
91,171,18,2023-01-01 01:30:00,1093,1260
92,177,19,2023-01-01 01:31:00,1021,1045
93,186,18,2023-01-01 01:32:00,1055,954
94,161,1,2023-01-01 01:33:00,1057,63
95,139,4,2023-01-01 01:34:00,1027,104
96,184,15,2023-01-01 01:35:00,1028,885
97,179,6,2023-01-01 01:36:00,1047,504
98,181,2,2023-01-01 01:37:00,1063,30
99,152,2,2023-01-01 01:38:00,1036,140
100,123,2,2023-01-01 01:39:00,1012,176
101,125,11,2023-01-01 01:40:00,1069,198
102,188,8,2023-01-01 01:41:00,1092,584
103,159,17,2023-01-01 01:42:00,1078,850
104,140,12,2023-01-01 01:43:00,1066,648
105,128,4,2023-01-01 01:44:00,1002,76
106,114,1,2023-01-01 01:45:00,1073,97
107,144,10,2023-01-01 01:46:00,1063,850
108,164,7,2023-01-01 01:47:00,1058,567
109,188,16,2023-01-01 01:48:00,1046,1584
110,170,17,2023-01-01 01:49:00,1095,1088
111,108,6,2023-01-01 01:50:00,1001,354
112,187,1,2023-01-01 01:51:00,1060,20
113,100,11,2023-01-01 01:52:00,1054,627
114,107,13,2023-01-01 01:53:00,1016,403
115,187,13,2023-01-01 01:54:00,1085,1131
116,162,9,2023-01-01 01:55:00,1057,666
117,110,3,2023-01-01 01:56:00,1042,174
118,180,2,2023-01-01 01:57:00,1063,116
119,107,1,2023-01-01 01:58:00,1045,10
120,134,7,2023-01-01 01:59:00,1085,322
121,134,10,2023-01-01 02:00:00,1068,990
122,132,2,2023-01-01 02:01:00,1060,136
123,104,4,2023-01-01 02:02:00,1039,276
124,140,16,2023-01-01 02:03:00,1090,1200
125,127,8,2023-01-01 02:04:00,1004,136
