customer_id,age,gender,purchase_date,amount
1051,20,M,2023-01-01 00:00:00,923
1092,22,F,2023-01-01 01:00:00,943
1014,20,M,2023-01-01 02:00:00,317
1071,57,M,2023-01-01 03:00:00,77
1060,23,M,2023-01-01 04:00:00,874
1020,32,F,2023-01-01 05:00:00,153
1082,23,F,2023-01-01 06:00:00,900
1086,40,M,2023-01-01 07:00:00,999
1074,47,M,2023-01-01 08:00:00,72
1074,56,F,2023-01-01 09:00:00,875
1087,57,F,2023-01-01 10:00:00,906
1099,65,M,2023-01-01 11:00:00,750
1023,38,F,2023-01-01 12:00:00,863
1002,62,M,2023-01-01 13:00:00,116
1021,54,F,2023-01-01 14:00:00,919
1052,39,F,2023-01-01 15:00:00,612
1001,69,M,2023-01-01 16:00:00,102
1087,19,F,2023-01-01 17:00:00,210
1029,31,F,2023-01-01 18:00:00,480
1037,35,M,2023-01-01 19:00:00,572
1001,67,M,2023-01-01 20:00:00,485
1063,67,M,2023-01-01 21:00:00,994
1059,32,F,2023-01-01 22:00:00,739
1020,54,F,2023-01-01 23:00:00,791
1032,19,F,2023-01-02 00:00:00,834
1075,60,F,2023-01-02 01:00:00,90
1057,37,F,2023-01-02 02:00:00,943
1021,27,F,2023-01-02 03:00:00,587
1088,22,M,2023-01-02 04:00:00,654
1048,49,F,2023-01-02 05:00:00,624
1090,19,M,2023-01-02 06:00:00,215
1058,61,M,2023-01-02 07:00:00,973
1041,66,F,2023-01-02 08:00:00,639
1091,22,F,2023-01-02 09:00:00,142
1059,38,F,2023-01-02 10:00:00,877
1079,35,F,2023-01-02 11:00:00,402
1014,65,F,2023-01-02 12:00:00,841
1061,57,F,2023-01-02 13:00:00,305
1061,21,F,2023-01-02 14:00:00,885
1046,49,F,2023-01-02 15:00:00,210
1061,53,F,2023-01-02 16:00:00,685
1050,21,F,2023-01-02 17:00:00,874
1054,34,F,2023-01-02 18:00:00,36
1063,69,F,2023-01-02 19:00:00,216
1002,59,F,2023-01-02 20:00:00,962
1050,50,F,2023-01-02 21:00:00,228
1006,39,F,2023-01-02 22:00:00,124
1020,35,F,2023-01-02 23:00:00,914
1072,44,F,2023-01-03 00:00:00,889
1038,32,M,2023-01-03 01:00:00,237
1017,42,M,2023-01-03 02:00:00,633
1003,27,M,2023-01-03 03:00:00,342
1088,33,F,2023-01-03 04:00:00,906
1059,21,F,2023-01-03 05:00:00,246
1013,48,M,2023-01-03 06:00:00,181
1008,49,F,2023-01-03 07:00:00,897
1089,41,M,2023-01-03 08:00:00,331
1052,35,F,2023-01-03 09:00:00,282
1001,49,M,2023-01-03 10:00:00,905
1083,45,F,2023-01-03 11:00:00,284
1091,28,M,2023-01-03 12:00:00,580
1059,25,F,2023-01-03 13:00:00,448
1070,18,F,2023-01-03 14:00:00,705
1043,19,M,2023-01-03 15:00:00,12
1007,38,M,2023-01-03 16:00:00,576
1046,66,F,2023-01-03 17:00:00,695
1034,69,F,2023-01-03 18:00:00,200
1077,36,M,2023-01-03 19:00:00,806
1080,59,F,2023-01-03 20:00:00,796
1035,47,F,2023-01-03 21:00:00,542
1049,57,F,2023-01-03 22:00:00,528
1003,42,M,2023-01-03 23:00:00,313
1001,26,F,2023-01-04 00:00:00,291
1005,59,F,2023-01-04 01:00:00,336
1053,69,F,2023-01-04 02:00:00,287
1003,45,M,2023-01-04 03:00:00,546
1053,54,M,2023-01-04 04:00:00,490
1092,49,F,2023-01-04 05:00:00,388
1062,58,F,2023-01-04 06:00:00,294
1017,28,F,2023-01-04 07:00:00,157
1089,67,F,2023-01-04 08:00:00,362
1043,38,F,2023-01-04 09:00:00,562
1033,41,F,2023-01-04 10:00:00,215
1073,18,F,2023-01-04 11:00:00,955
1061,33,F,2023-01-04 12:00:00,435
1099,69,F,2023-01-04 13:00:00,320
1013,41,M,2023-01-04 14:00:00,94
1094,27,M,2023-01-04 15:00:00,134
1047,49,F,2023-01-04 16:00:00,859
1014,45,M,2023-01-04 17:00:00,14
1071,67,F,2023-01-04 18:00:00,258
1077,50,M,2023-01-04 19:00:00,666
1086,55,F,2023-01-04 20:00:00,517
1061,39,M,2023-01-04 21:00:00,244
1039,18,M,2023-01-04 22:00:00,911
1084,52,F,2023-01-04 23:00:00,769
1079,62,M,2023-01-05 00:00:00,711
1081,29,M,2023-01-05 01:00:00,606
1052,63,M,2023-01-05 02:00:00,426
1023,42,F,2023-01-05 03:00:00,324
1025,45,M,2023-01-05 04:00:00,421
1088,34,F,2023-01-05 05:00:00,548
1059,33,F,2023-01-05 06:00:00,815
1040,49,F,2023-01-05 07:00:00,798
1028,62,M,2023-01-05 08:00:00,273
1014,21,F,2023-01-05 09:00:00,270
1044,64,M,2023-01-05 10:00:00,764
1064,58,F,2023-01-05 11:00:00,470
1088,66,M,2023-01-05 12:00:00,623
1070,28,M,2023-01-05 13:00:00,754
1008,37,M,2023-01-05 14:00:00,685
1087,43,F,2023-01-05 15:00:00,543
1000,24,F,2023-01-05 16:00:00,979
1007,48,M,2023-01-05 17:00:00,571
1087,24,F,2023-01-05 18:00:00,465
1062,21,F,2023-01-05 19:00:00,151
1010,25,F,2023-01-05 20:00:00,856
1080,68,M,2023-01-05 21:00:00,755
1007,31,M,2023-01-05 22:00:00,511
1034,39,M,2023-01-05 23:00:00,254
1034,40,M,2023-01-06 00:00:00,715
1032,42,F,2023-01-06 01:00:00,989
1004,53,F,2023-01-06 02:00:00,870
1040,66,F,2023-01-06 03:00:00,137
1027,43,F,2023-01-06 04:00:00,187
1006,41,M,2023-01-06 05:00:00,363
1072,35,F,2023-01-06 06:00:00,333
1071,38,F,2023-01-06 07:00:00,284
1011,64,F,2023-01-06 08:00:00,801
1033,22,M,2023-01-06 09:00:00,509
1032,32,F,2023-01-06 10:00:00,600
1047,48,F,2023-01-06 11:00:00,471
1022,43,F,2023-01-06 12:00:00,136
1061,21,F,2023-01-06 13:00:00,72
1087,21,F,2023-01-06 14:00:00,343
1036,61,M,2023-01-06 15:00:00,590
1098,67,F,2023-01-06 16:00:00,259
1043,36,F,2023-01-06 17:00:00,630
1085,43,F,2023-01-06 18:00:00,423
1090,67,F,2023-01-06 19:00:00,987
1034,50,F,2023-01-06 20:00:00,504
1064,21,F,2023-01-06 21:00:00,777
1098,64,M,2023-01-06 22:00:00,12
1046,55,M,2023-01-06 23:00:00,778
1077,41,F,2023-01-07 00:00:00,119
1002,48,F,2023-01-07 01:00:00,354
1000,51,M,2023-01-07 02:00:00,841
1004,51,F,2023-01-07 03:00:00,824
1089,19,F,2023-01-07 04:00:00,125
1013,60,M,2023-01-07 05:00:00,294
1026,25,M,2023-01-07 06:00:00,927
1008,66,M,2023-01-07 07:00:00,262
1078,38,M,2023-01-07 08:00:00,639
1014,29,M,2023-01-07 09:00:00,921
1089,53,F,2023-01-07 10:00:00,494
1041,18,F,2023-01-07 11:00:00,201
1076,59,F,2023-01-07 12:00:00,846
1050,56,F,2023-01-07 13:00:00,689
1062,33,M,2023-01-07 14:00:00,502
1095,66,F,2023-01-07 15:00:00,764
1051,23,M,2023-01-07 16:00:00,744
1095,50,F,2023-01-07 17:00:00,374
1003,60,M,2023-01-07 18:00:00,76
1093,30,F,2023-01-07 19:00:00,87
1022,62,F,2023-01-07 20:00:00,413
1014,26,F,2023-01-07 21:00:00,633
1042,52,M,2023-01-07 22:00:00,163
1028,45,M,2023-01-07 23:00:00,307
1035,51,M,2023-01-08 00:00:00,874
1012,49,M,2023-01-08 01:00:00,16
1031,18,F,2023-01-08 02:00:00,44
